Logradouro,Endereço,Numero,Complemento,Bairro,Cidade,Estado,Região,País,CEP,Endereço completo,Latitude,Longitude
,,,,,Rio Largo,Bahia,,Brasil,,Rua Dr. Manoel Oiticica nº 296 Bairro: Centro - Rio Largo / AL CEP: 57100-000,,
,,,,,Macapá,Bahia,,Brasil,,"Avenida Presidente Vargas, 341 térreo (sala 1) e 1º andar (sala 2) - Central - CEP  68900-070",,
,,,,,Macapá,Bahia,,Brasil,,Rodovia Juscelino Kubitschek n.º 100  - Loja nº 140 - Jardim Marco Zero -  CEP 68903-196,,
,,,,,Macapá,Bahia,,Brasil,,"Rua Leopoldo Machado, 2334 
Central - Macapá / AM CEP: 68906-430",,
,,,,,Santana,Bahia,,Brasil,,"Avenida Santana s/n, Lote urbano 401 - Antigo 21, quadra 22, setor 12 Comercial - Santana/AP - CEP 68925-076",,
,,,,,Itacoatiara,Bahia,,Brasil,,"Avenida Parque nº 762
Bairro: Tancredo Neves - Manaus / AM CEP: 69087-215",,
,,,,,Manaus,Bahia,,Brasil,,"Avenida 7 de Setembro,  1.199 - Centro - CEP 69005-141",,
,,,,,Manaus,Bahia,,Brasil,,"Av. Djalma Batista, 1661 - Chapada - CEP 69050-010",,
,,,,,Manaus,Bahia,,Brasil,,"Av Djalma Baptista, 2100 - Chapada - CEP 69050-010",,
,,,,,Manaus,Bahia,,Brasil,,Avenida Cosme Ferreira  nº 4605 Loja 17A - São José Operário - CEP 69085-015,,
,,,,,Manaus,Bahia,,Brasil,,Avenida  Autaz  Mirim nº 282 – LOJA 01 - Tancredo Neves - CEP 69087-215,,
,,,,,Manaus,Bahia,,Brasil,,Av. Arquiteto José Henrique Bento Rodrigues nº 3760  EC 103-G Bairro: Monte das Oliveiras - Manaus / AM CEP: 69.093-149,,
,,,,,Manaus,Bahia,,Brasil,,Avenida Noel Nutels nº 1762 – Loja 3105 – 1º pavimento Bairro: Cidade Nova - Manaus / AM CEP: 69.095-000,,
,,,,,Manaus,Bahia,,Brasil,,"Avenida Coronel Teixeira nº 5.705
Salão Comercial nº L40.3 - terceiro piso
Manaus / AM CEP: 69037-000",,
,,,,,Manaus,Bahia,,Brasil,,"Av. Eduardo Ribeiro, 409/413 e Joaquim Sarmento, 78, Centro - Manaus - AM - CEP 69010-000",,
,,,,,Manaus,Bahia,,Brasil,,"Avenida Laguna, 708 - Nova Esperança - Manaus - AM, CEP 78890-000",,
,,,,,Manaus,Bahia,,Brasil,,"Avenida Autaz Mirim, 6.100 - LUC 2007/2008/2009B/2010 - São José - Manaus / AM - CEP 69.085-000",,
,,,,,Manaus,Bahia,,Brasil,,"Rua Francisco Queiroz, 654 (antigos 47) -  Conjunto Manoa - Cidade Nova I - Manaus - AM - CEP 69090-741",,
,,,,,Parintins,Bahia,,Brasil,,"Praça Cristo Redentor, 2102 - Centro - Parintins - AM - CEP 69151-301",,
,,,,,Alagoinhas,Bahia,,Brasil,,Rua Treze de Maio n.º 107 - Centro - CEP 48005-430,,
,,,,,Amargosa,Bahia,,Brasil,,"Rua Benedito Almeida, 216 - Centro - Amargosa - BA - CEP 45300-000",,
,,,,,Barreiras,Bahia,,Brasil,,"Rua Princesa Isabel, 361 - Primavera - CEP 47803-070",,
,,,,,Brumado,Bahia,,Brasil,,"Rua Doutor Mário Meira, nº 147 Bairro: Centro - Brumado / BA CEP: 46100-000",,
,,,,,Camaçari,Bahia,,Brasil,,Rua Duque de Caxias n.º 309 CEP 42800-150,,
,,,,,Camaçari,Bahia,,Brasil,,"Via Parafuso s/nº, Lote 4 EUC - nº 1048 e 1049",,
,,,,,Candeias,Bahia,,Brasil,,Praça Doutor Gualberto Dantas Fontes n.º 138 - Centro - CEP 43805-010,,
,,,,,Catu,Bahia,,Brasil,,"Rua Desembargador Pedro Ribeiro Bittencourt , Centro - Catú - BA
CEP 48110-000",,
,,,,,Conceição do Coité,Bahia,,Brasil,,Avenida Barão  do Rio Branco  nº 39 - Bairro: Centro - Conceição do Coité / BA CEP: 48730-000,,
,,,,,Cruz das Almas,Bahia,,Brasil,,Rua J B da Fonseca s/nº Bairro: Centro - Cruz das Almas / BA CEP: 44380-000,,
,,,,,Dias D'Ávila,Bahia,,Brasil,,"Av. Brasil, 451 - Bairro: Centro - Dias D´Ávila/ BA - CEP: 42.8500-000",,
,,,,,Eunápolis,Bahia,,Brasil,,"Rua Porto Seguro, 615 - Centro - CEP 45820-006",,
,,,,,Feira de Santana,Bahia,,Brasil,,"Av. João Durval Carneiro, 3665 Loja 179 B, 1º Piso - Campo do Gado - CEP 44037-010",,
,,,,,Feira de Santana,Bahia,,Brasil,,"Av. Senhor dos Passos, 942 - Centro - CEP 44010-231",,
